아이디,리뷰어 등급,작성 날짜,옵션1,옵션2,상품 사이즈,퀄리티,색감,키,몸무게,사이즈,리뷰내용
OCtb4SFW,상위 30%,24.08.27,Cream,Free,정사이즈예요,보통이에요,화면과 비슷해요,159cm,55kg,상의 55,3번 입고 빠니까 옷도 좀 늘어나고 그래서 버리고 내년 여름에도 입으려고 똑같은거 한개 더 샀습니다.. 검정도 있는데 크림이 훨씬훨씬 더 예뻐요 증맬루 ㅠㅠ💗
Oo39lfrJ,상위 5%,24.08.25,Blue Gray,Free,정사이즈예요,아주 만족해요,화면과 비슷해요,162cm,51kg,상의 55,가성비 좋아요! 색도 이쁘고 재질도 괜찮고 핏도 괜찮은 것 같아요. 잘 입고다니고 있습니당
znzvLmbw,,24.07.16,Pink,Free,정사이즈예요,보통이에요,화면과 비슷해요,168cm,62kg,상의 66,검정 속옷에 입어서 많이 티나는데 처음에 앞뒤 구분 몰라서 돌려돌려 입다가 셔링ㅇㅣ 많이 잡힌곳이 뱃살 쪽으로 해서 입어요 ㅎㅎㅎㅎ 서고개 숙이면 가슴쪽이 휑 하고 잘보여 아쉽지만 옷은 이쁩니다 ㅎ
djpNZGRR,,24.07.15,Black,Free,정사이즈예요,보통이에요,화면과 비슷해요,155cm,45kg,상의 55,"첨엔 좀 애매하구 별로인가 싶어서 반품하려다가 좌우바꿔서 입었더니 저한테 잘맞아요 ㅎㅎ. 오른쪽 팔뚝이 더 두꺼운 편이라 긴 쪽을 오른쪽으로 했어요! 
그리구 제가 바스트가 좀 있는 편인데 그게 티나는걸 안좋아하거등요. 얘는 몸에 적당히 흐르는 소재라 가슴 부각 안되서 넘 만족스러워용"
vntgnSaA,,24.07.09,Pink,Free,정사이즈예요,아주 만족해요,화면과 비슷해요,160cm,55kg,상의 55,"실제로 보면 완전 예쁜 딸기우유 색이에요!! 카메라에는 좀 살구색처럼 나왔는데 저런 색 아닙니당 너무너무 예뻐요ㅠㅠ 다른 색도 살라구요 아 진짜 완전 여리여리하고 청순해요,, 대만족입니다 진짜! 너무예뻐요♥"
0910****,상위 25%,24.07.06,Blue Gray,Free,정사이즈예요,아주 만족해요,화면과 비슷해요,167cm,49kg,상의 44,완전 여성스럽고 예뻐요 ㅠㅠ 나 오프숄더!!!보단 오프숄더☺️☺️느낌이고 팔뚝살도 잘가려줘요 그냥 청바지랑 입어도 예쁘겠지만 저는 슬랙스에 손이 가서 주로 슬랙스랑 입어요
w4MGwPdR,상위 20%,24.11.22,Pink,Free,정사이즈예요,보통이에요,화면과 비슷해요,168cm,73kg,상의 66,색감이 진짜 예뻐여 !!! 그래서 입으면 바로 여자 됩니다 !!! 코디 하기도 쉽고 적당히 꾸민 티 내기에도 좋아용 다른 색도 사고싶어요
OXXxUhtC,,24.11.03,Blue Gray,Free,정사이즈예요,아주 만족해요,화면과 비슷해요,168cm,58kg,상의 55,"늦은 후기지만ㅎ 올 여름에 핑크 사고 예뻐서 블루그레이 색상도 추가 구매했어요 !!! 색상도 차분한 물빠진 블루그레이 색상이라 너무 예쁘고, 어느 룩에든 꾸안꾸 느낌으로 딱이에요🩵 하나는 무조건 쟁여야하는 머스트템 .."
몽식22,,24.10.04,Black,Free,정사이즈예요,아주 만족해요,화면과 비슷해요,158cm,54kg,상의 55,"여행가서 입으려고 샀어요!
캐리어 짐은 크게 늘리지 않으면서 드레시한 느낌을 줄 수 있어서 만족했어요. 가격도 저렴하고요~ 
저는 워낙 팔뚱뚱이라 ㅠㅠ 마른분들처럼 예쁜 상체라인은 안나오지만 그래두 저렴한 가격으로 신경쓴듯한 분위기를 낼 수 있어 좋았어요"
Rg7MfjqK,,24.09.27,Cream,Free,정사이즈예요,보통이에요,화면과 비슷해요,,,,"여성스러움 최고! 친구가 넘 예쁘다고 하네요! 
옷 자체는 예쁜데 한 번 빨래하고 보풀이 일어나는게 아쉬웠어요ㅜㅜ 일단 예뻐서 입고 다니는중..!!"
KYPw8Ag8,,24.09.26,Blue Gray,Free,정사이즈예요,보통이에요,화면과 비슷해요,166cm,53kg,상의 55,딱 제가 사진 찍은 색감이에요 연그레이에 파란색 진짜 살짝 섞은색깔 . 옷이 자꾸 좀 올라와서 계속 만져주고 매무새 다듬어야해서 좀 귀찮아요 술
mo6zJTmc,,24.09.26,Blue Gray,Free,정사이즈예요,아주 만족해요,화면과 비슷해요,164cm,63kg,상의 66,좋아요~~ 여름 내내 하도 입고다녀서 늘어날정도 ㅜㅋㅋㅋㅋ 10번은 넘게 입은것같아요! 꾸안꾸 꾸꾸 다 가능한 스탈이라 넘 만족했어요
9IOtNTzy,,24.09.24,Black,Free,정사이즈예요,아주 만족해요,화면과 비슷해요,169cm,60kg,상의 66,"여러분 거짓말 안 치고 여기에 진주 목걸이까지 해보샤요
완전 고급미 작살남.그리고 팔뚝까지 내려주면 얇아보임 블랙 샀는데 더 고급스러워 보여서 대 만 족 근데 좀 늦게 사서 추워디지는중"
subi*****,,24.09.24,Pink,Free,정사이즈예요,아주 만족해요,화면과 비슷해요,160cm,50kg,상의 55,"여행갈때 입으려고 급하게 샀는데 넘 맘에 들었어용 
여름에 포인트되게 입기 딱 좋은것 같아요 ! 
색상도 딱 딸기우유 색이여서 더 예뻤습니당"
뎨뎨하뚜,상위 15%,24.09.24,Pink,Free,정사이즈예요,아주 만족해요,화면과 비슷해요,158cm,47kg,상의 44,퍼스널컬러 봄웜 라이트인데 이 옷 입고 너무 잘 어울린다는 얘기 많이 들었어요 ㅎㅎ 어깨 살짝 보이게 입는 것도 예쁘다고 칭찬받았어용 예뻐요!
Lhcvuweq,,24.09.23,Blue Gray,Free,정사이즈예요,아주 만족해요,화면과 비슷해요,159cm,55kg,상의 55,"여리여리한 분위기 연출할 수 있어요
셔링이 예쁘게 잡혀있고 완전 만세하면 당연히 어깨가 올라가지만 일상생활 할 때는 많이 안 올라갈 것 같아요"
rlaw******,상위 20%,24.09.22,Black,Free,정사이즈예요,보통이에요,화면과 비슷해요,164cm,51kg,,여성스러움을 돋보이는 반팔티같아요 ㅎㅎ 너무 화려한것도 부담스럽고 너무 무난한것도 싫으시면 이런 데일리한 오픈숄더 좋은 것 같습니다 !!
dszDaCiw,,24.09.22,Blue Gray,Free,정사이즈예요,아주 만족해요,화면과 비슷해요,161cm,49kg,상의 55,진짜.. 존예입니다 블루그레이 진짜 너무 예뻐요. 코디샷 그대로 따라입었는데 너어무 만족합니다.. 제가 어깨가 좀 있는 편인데도 여리여리해보이고 피부톤이 막 밝지도 않은데 피부까지 밝아보이는 마법! 완전 추천합니다!!!
roem****,상위 15%,24.09.17,Black,Free,정사이즈예요,아주 만족해요,화면과 비슷해요,,,,추석 때 입고 바로 가을 날씨 와서 한번 밖에 못 입었지만 어깨 적당히 드러낼 수 있어 좋았고 허리도 적당히 라인 잘 보여줘서 좋았어요 :) 내년에 많이 입어야겠어요 !
Y7jsDOns,,24.09.13,Pink,Free,정사이즈예요,보통이에요,화면과 비슷해요,158cm,51kg,상의 55,"어깡도 잘맞네요 ㅋㅋㅋ
진짜이뻐요. 컬러감도 대박!
아무바지에나 다 잘어울려요
여름엔 왜 몰랐을까,, 휴양지 가려고 직진배송시켜서 입었는디 넘 이뻐요"
P41AY678,상위 20%,24.09.12,Pink,Free,정사이즈예요,보통이에요,화면과 비슷해요,164cm,50kg,상의 55,"뚱뚱해 보일까바 걱정했는데
핏 너무 예뻐서 날씬해보여요ㅠㅠ 소라색이랑 고민 했는데 핑크 너무 맘에 듭니다 .. ♡ 소라색도 살라구요 ㅎ ㅎ"
BzLveEXl,상위 20%,24.09.08,Blue Gray,Free,정사이즈예요,아주 만족해요,화면과 비슷해요,160cm,56kg,상의 55,개~~~~이뻐요!! 약속 땜에 급하게 샀는데 너무 늦게 시켜서 못 입고 갔지만 너무 이뻐서 반품을 못하겠어요ㅋㅋㅋ 기대 안했는데 진짜 이쁘네요 근데 오픈숄더로 입을려면 한 쪽 계속 내려줘야 할 것 같긴 합니다! 그래도 꽉끼지 않아서 편하고 라인 잡혀 있어서 이뻐여ㅠㅠ💕
1Th0B6HC,,24.09.06,Pink,Free,정사이즈예요,아주 만족해요,화면과 비슷해요,164cm,53kg,상의 55,후기가 너무 좋아서 구매했어요! 부드러우면서 스판이 좋아서 입기 편해요! 체형커버도 되어서 좋아요 😀 초 가을까지 입을 수 있을거 같아요!
HtXzpWXs,,24.09.03,Blue Gray,Free,정사이즈예요,보통이에요,화면과 비슷해요,159cm,51kg,상의 55,오프숄더는 처음입어보는데 여리여리해보이고 여성스러운 너끰 조아여 생각한것보다 예쁜데 질은 그냥 그래요 그래도 한철 입는걸로 나름 만족합니당
MuhPKSFx,상위 10%,24.09.03,Blue Gray,Free,정사이즈예요,보통이에요,화면과 비슷해요,154cm,47kg,,여름에 격식있는 자리 갈 때 잠깐 입기 좋아요:) 꽤 다양한 하의에 메치하기 좋고 소라색이라 여름 쿨 라이트 인간으로서 입기 좋아요!
slbYQXee,,24.08.30,Black,Free,정사이즈예요,보통이에요,화면과 비슷해요,156cm,50kg,상의 55,딱 제가 찾던 기본 오프숄더에요! 조금 더 타이트했으면 예쁠 뻔 했는데 널널해서 핏이 조금 아쉬워용 ㅠㅡ ㅠ 그치만 예쁘게 입을게요 ㅎㅎ
iZceGkX7,,24.08.29,Blue Gray,Free,정사이즈예요,아주 만족해요,화면과 비슷해요,164cm,63kg,상의 55,저 팔뚝 셔링이 좀만 더 길었음 좋앗을텐데 팔뚝살 오지게마나서 잘 안가지려집니당. ㅎㅎ 원단감은 참 좋아요 쭉쭉늘어나고 옷자체는 예뿌고요 팔뚝살은 제가뺄게요
6YhVMpTp,상위 20%,24.08.29,Blue Gray,Free,정사이즈예요,아주 만족해요,화면과 비슷해요,162cm,56kg,상의 66,중요한 자리 있을 때마다 입고 갔습니다. 디자인도 너무 예쁘고 무엇보다 허리라인을 잘 잡아줘서 말라 보이게 해요. 다른 컬러도 구매하고 싶어요.
EqcUI38X,상위 30%,24.08.27,Blue Gray,Free,정사이즈예요,아주 만족해요,화면과 비슷해요,,,,지금껏 오프숄더는 팔뚝살 부각되는 옷인 줄 알았는데 이 오프숄더는 다릅니다..🥹 팔뚝살은 가려주고 어깨라인은 예쁘게 보이게 해주는 옷이라서 너무 맘에 들어요😍
OBLid39f,상위 25%,24.08.24,Black,Free,정사이즈예요,보통이에요,화면과 비슷해요,155cm,50kg,상의 66,군데군데 실밥이 있긴한데 입었을때 여리해 보이고 이쁘네요!! 그치만 가격대비 그냥그래요 실밥 주렁주렁 ㅠㅠ그거 빼고는 격식 있어보이고 이뻐요!!
dlal******,상위 30%,24.08.22,Beige,Free,정사이즈예요,아주 만족해요,화면과 비슷해요,167cm,56kg,상의 55,"최애옷으로 등극했습니다...
너무 부담스럽게 노출도 아니고 딱 예뻐요 허리라인도 딱 잡아주고 기장도 짧지않고 너무 예뻐요
페미닌한 옷 좋아하지면 고민말고 당장 주문하세요ㅠ"
q66J2yuP,,24.08.17,Pink,Free,정사이즈예요,보통이에요,화면과 비슷해요,165cm,58kg,상의 66,"생각했던 핑크보다 살짝 톤다운 핑크지만 맘에 들어요!
목부분 천이 안쪽에 고정이 없어서 입을 때 좀 신경써서 입어야허지만 아주 만족스러워요!"
RQfpphXq,상위 15%,24.08.17,Blue Gray,Free,정사이즈예요,아주 만족해요,화면과 비슷해요,157cm,47kg,상의 44,원하는 핏으로 만져주면 오프숄더나 보트넥 등으로 입을 수 있어서 좋아요 어깨부분이 입기 전에 달랑달랑거려서 걱정했는데 입으니까 꽤 괜찮았어요
Bd9KJw0D,,24.08.17,Cream,Free,정사이즈예요,아주 만족해요,화면과 비슷해요,165cm,50kg,상의 44,"옷 소재가 정말 부드러워요! ! 셔링 덕분에 여리하게 연출 할 수 있고, 오프숄더 이지만 많이 파인게 아니라서 단정한 느낌도 줄 수 있는 것 같아요 b !"
lIJfzR89,,24.08.15,Pink,Free,정사이즈예요,보통이에요,화면과 비슷해요,161cm,53kg,상의 55,"원단이 부들뷰들 촉감이 좋고 쫙쫙 잘 늘어나서 좋아오 ! 
오프숄더 모양 잡기가 살짝쿵 어렵지만 서도 색도 은은하게 예쁘고!!! 좋습니다 ㅎㅎ 
이거 입은날 옷 예쁘다는 말 항상 들은것 같아여>_>"
3QFtzMaQ,상위 30%,24.08.15,Blue Gray,Free,정사이즈예요,별로예요,화면과 비슷해요,158cm,50kg,상의 55,"다른 건 모르겠고 목 박음질 안되어 있더라고요 원래 안되어 있는지 이게 불량인지 물어봐도 카카오톡 채널로 시간 맞춰서 문의하라 하고 직잭 문의는 아예 안받더라고요? ^^ 전화 포함 ^^ 바쁜 직장인은 몇 번이나 시간 놓쳐서 결국 이게 맞는지 저게 맞는지 모르는 상태로 입었네요. 박음질 안된 부분 계속 울어서 핏 예쁜지도 모르겠고 너무 파여서 두 팔 다 책상 위에 올리기 쌉 불가능 ,, 퀄리티도 그렇고 CS도 너무 구려서 다시는 안살 것 같네요~"
ZOrQ1CBK,,24.08.14,Black,Free,정사이즈예요,아주 만족해요,화면과 비슷해요,158cm,53kg,상의 55,진짜 핏이 부해보이지 않고 슬림해서 대박이고 너무너무 옙뽀요🫶 처음에 핑크 구매하고 블랙까지 샀어요ㅠㅠ 이 옷 진짜 강추드려요🥹😘
