아이디,리뷰어 등급,작성 날짜,옵션1,옵션2,상품 사이즈,퀄리티,색감,키,몸무게,사이즈,리뷰내용
fUze1lZC,,23.08.30,메란지 (Melange),Free,정사이즈예요,보통이에요,화면과 비슷해요,168cm,51kg,상의 55,60퍼 세일하길래 무조건 아묻다 구매했구요. 편하게 입기좋아요. 기모도 세일기다렸다가 사려구요. 직진배송이라 밤에 주문한게 바로 담날 오전에 왔어요. 굳굳
rzP35JbT,,22.12.22,블랙,기모,생각보다 커요,별로예요,화면보다 밝아요,,,,"믿고사는 쇼핑몰인데
기모라서 그런지 먼지가 너무 잘붙어서 
빨아도 이쁘지가 않네요
일반으로 사야 조거나 트레이닝은 이쁘게 입을것같아요"
4I9bcRg2,상위 10%,22.09.21,아이보리,일반,생각보다 커요,보통이에요,화면과 비슷해요,166cm,47kg,상의 55,맨투맨 남여 공용처럼 품 있어요 166/46 체형에 요정도 넉넉한 사이즈 입니다 참고하셔서 구입하세여 배송은 바로 담날 도착
4Myqx0ik,,21.11.22,오트밀,기모,정사이즈예요,보통이에요,화면과 비슷해요,167cm,43kg,상의 44,겨울에 완전 교복템으로 잘 입고 있어요! 기모 있어서 따뜻하구 편하고 너무 좋아요~! 위아래 세트로 주문했는데 바지는 아직 안와서 ㅜㅜ 배송이 좀 아쉬워요
yEMB0TD8,,21.11.18,오트밀,기모,정사이즈예요,보통이에요,화면과 비슷해요,167cm,53kg,상의 55,"몸통 시보리가 헐렁해요...
그래서 모양 잡기가 어려워서
따로 고무줄 넣어주었습니다
그냥 한철 입기 좋은거 같아요"
ofrfKaoU,,21.11.10,그레이,기모,정사이즈예요,보통이에요,화면과 비슷해요,170cm,52kg,상의 55,"키 170
몸무게 52
잘 맞고, 따뜻합니다.
날이 갑자기 추워졌는데 교복될거 같아여"
71JB1g2o,,21.06.23,오트밀,일반,생각보다 커요,아주 만족해요,화면과 비슷해요,160cm,50kg,상의 55,생각보다 많이 박시하기는 하지만 그래도 이쁘게 박시한 느낌이라서 좋습니다! 바지랑 셋트로 샀는데 같이도입고 따로도 잘 입을것 같애요 ㅎㅎ
idnuV374,,21.06.13,메란지,일반,정사이즈예요,아주 만족해요,화면과 비슷해요,,,,처음에 받았을 때 시큼한 냄새같은게 나서 당황했는데 한번 빨았더니 괜찮아요. 핏도 소재도 모두 좋습니다
oWuPIPZG,,21.03.27,메란지,일반,정사이즈예요,보통이에요,화면과 비슷해요,167cm,55kg,상의 55,"진심 찰떡이에요~~~ 재질도 너무 얇지도 않고 딱 좋아요! 
핏 걱정했는데 예쁘게 발목잡아줍니다"
GQBMcgSF,상위 30%,21.02.27,오트밀,일반,생각보다 커요,보통이에요,화면과 비슷해요,,,,색상 화면과 같구 목부분이 조금 답답해 보이지만 전체적인 핏감은 살짝 큰거 같아요..
Xh5tEU2a,,21.02.24,그레이,기모,생각보다 커요,아주 만족해요,화면과 비슷해요,158cm,43kg,상의 44,재질도 부들부들하고 톡톡하니 맘에들어요 핏은 안입어봐서 모르겠지만 클거같긴하네융
RgOWMY0k,,21.01.25,오트밀,일반,생각보다 커요,보통이에요,화면과 비슷해요,168cm,55kg,상의 55,선물해줫는데 색감은 맘에 들고 사이즈는 커서 홈웨어로 입기 좋다고하더라구요
fSgY5N92,상위 5%,21.01.10,메란지,기모 없음,정사이즈예요,보통이에요,화면과 비슷해요,168cm,53kg,상의 55,맘에 들어요! 키 생각해서 바지 롱으로 바꿨는데 약간 길어서 바꾸지말걸 후회도돼요 그래도 주변에서 예쁘다해서 만족입니다!
