아이디,리뷰어 등급,작성 날짜,옵션1,옵션2,상품 사이즈,퀄리티,색감,키,몸무게,사이즈,리뷰내용
IVENzqp5,상위 15%,24.05.07,화이트 White,,정사이즈예요,아주 만족해요,화면과 비슷해요,169cm,64kg,상의 66,"살타는걸 싫어해서 여름에도 입을 것같아서 사봤는데
살땐몰랐는데 소매끝, 밑단이 살짝 말려있던데
은근 디테일이라 이쁘고 여리여리해보이더라구여
넘 이뻐오 잘입을거같아요!"
lees*****,상위 15%,24.05.01,딥네이비 Navy,,생각보다 커요,아주 만족해요,화면과 비슷해요,158cm,48kg,상의 55,"네이비 구매했는데 진한 남색이라 너무 예쁩니다!
품도 널널해서 편하게 막 입을 것 같아요~
목부분도 그렇게 넓지 않아서 노출걱정없이 잘 입겠습니다♡"
N8QcE1nd,상위 30%,24.04.30,베이지 Beige,,생각보다 커요,보통이에요,화면과 비슷해요,167cm,53kg,상의 55,지금부터 여름까지 입기 좋아요 여리핏을 기대했는데 목선 생각보다 좁아요ㅠㅠ 어깨넓은사람이어서 홀터 이너로 시선을 좀 분산 시켜줘야해요ㅠㅠ
eXnRkcvY,,24.04.28,라이트그린 Light green,,정사이즈예요,아주 만족해요,화면과 비슷해요,160cm,55kg,상의 55,너무너무예뻐요! 봄 니트로 제격이에요 몸에 흐르듯 촥 떨어지는 느낌인데 다 빼고 입어도 너무예쁘고 한쪽 넣어서 입어도 너무 예쁨니당!ㅎㅎ 연두색 강추
가호랑,상위 20%,24.04.26,딥네이비 Navy,,정사이즈예요,아주 만족해요,화면과 비슷해요,160cm,46kg,상의 55,전 작년에 이 화이트 색상을 너무 잘 입어서 이번에 다시 네이비로 구매햏아요 역시나 만족! 요즘 같은 날씨에 적당하고 좋아요ㅎㅎ다른 색상들도 더 추가됐으먼 좋겠네요ㅎㅎ
bCjHA1DR,,24.04.26,라이트그린 Light green,,생각보다 커요,아주 만족해요,화면과 비슷해요,168cm,72kg,상의 66,왜 한개만 샀을까 후회중인 제품… 너무 예뻐서 다른 색들도 구매할려고 리뷰 적습니다! 여름에 선크림 팔까지 바르는거 매우 귀찮았는데 긴팔에 시원하니깐 완전 만족합니다!
4WZS3SKP,,24.03.12,블랙 Black,,정사이즈예요,아주 만족해요,화면과 비슷해요,172cm,75kg,상의 66,"최고입니다!!! 아주마음에들어용 중국저가랑질이다름
.
.
.
고민은
배송을
늦출뿐
얼른
구매하세요 
색깔별로전부다구매해야함이건 필수"
aAVBB1cv,,24.03.12,라이트그린 Light green,,생각보다 커요,보통이에요,화면과 비슷해요,156cm,65kg,상의 66,생각보다 두꺼워요 한여름엔 무리일듯하네요. 모카사고 맘에 들어서 인기있던 라이트그린 샀는데 에쁘네요 그래도 개인적으론 모카가 더 맘에 듭니다!
DVD4KjeR,,24.03.12,애쉬그레이 Gray,,생각보다 커요,보통이에요,화면과 비슷해요,166cm,50kg,상의 55,"엄마 입으라고 사드렸는데 이쁘다고 만족하셨어요
색은 생각보다 어둡긴했어요
그리고 기장이나 품이 큰편이라 그냥 입는 것 보단 넣어입으면 이쁠 것 같아요"
qutmhN5x,,24.02.25,라이트그린 Light green,,정사이즈예요,별로예요,화면과 비슷해요,172cm,58kg,상의 55,휴양지 놀러가서 입엇는데 막입기 좋앗어요 ㅋㅋ 여름에 살 안타 템으로도 좋을거같어여 근데 갓다와서 세탁기돌렸는데 실이 터져서 위쪽부분이 완전 너덜해졋어요…
MLz3LDWg,,24.02.05,화이트 White,,정사이즈예요,보통이에요,화면보다 밝아요,167cm,88kg,상의 77,"167 기준 입었을 때 총장 길이는 Y존 끝부분까지 덮는다. 비침 정도는 그렇게 심하진 않고, 여름부터 자주 입을 수 있는 옷인 것 같아요. 옷에서 딱히 냄새가 나진 않았고, 색이 생각했던 것보다 더 표백제 사용한 화이트 느낌이에요. 맨살에 입으면 까슬까슬할 줄 알았는데 그런 느낌은 받지 못했어요. 저렴하게 잘 구매한 것 같다고 생각합니다! m(_ _)m"
KJ7ypYid,상위 30%,23.12.21,화이트 White,,생각보다 커요,아주 만족해요,화면과 비슷해요,161cm,64kg,상의 55,진짜 맘에 들어요! 베트남 여행가서 입었는데 되게 시원하고 하늘하늘해서 여기저기 코디하기도 좋고 예뻤습니당 내년 여름에 다른 색들도 사야겠어요~
YwzOonzA,상위 15%,23.10.31,애프리콧,FREE,생각보다 커요,보통이에요,화면과 비슷해요,163cm,52kg,상의 55,"생각보다 옷이 크고 팔이 길어서 당황했지만
색상도 흔하지 않아 예뻐요!!!
근데 벌써 날씨가 추워져서 한 번밖에 못 입고 옷장에 넣어뒀어요...매우 아쉽 ㅠㅠ
옷은 예쁩니다!"
6wxPLQtT,,23.10.15,라이트그린,FREE,정사이즈예요,아주 만족해요,화면보다 밝아요,162cm,50kg,상의 55,여행가서 입으려고 샀는데 대만족합니당!! 색감이 화면보다 살짝 밝은 느낌인데 그래서 여행지에서 사진찍을 때 너무 잘 나왔어요! 재질도 괜찮은 편인 것 같아서 좋아욥👍
oA1ExGFb,,23.10.15,베이지,FREE,생각보다 커요,보통이에요,화면과 비슷해요,173cm,61kg,상의 66,"삼각형 체형이라
골반에 걸치는(내려오는) 길이가 안예쁜데도
요거는
루즈하고 편하게 입을 수 있어서 자주 입었어요!
싸게 잘 샀습니다 😻"
