아이디,리뷰어 등급,작성 날짜,옵션1,옵션2,상품 사이즈,퀄리티,색감,키,몸무게,사이즈,리뷰내용
UxA9KCsj,,24.04.09,차콜,FREE,정사이즈예요,아주 만족해요,화면과 비슷해요,164cm,46kg,상의 44,"겨울용 후드티를 봄 다 되어서 구매하게 됬네요ㅜ-ㅜ 지금 입기에는 더울거 같긴 한데 그래도 예뻐요! 딱 원하던 예쁜 차콜 색상이라 맘에 들어요 힙한 느낌 주기도 좋구요
제 몸에는 앞에 주머니 부분이 좀 많이 튀어나오긴 한데 그래도 예쁘고 후드티 퀄 좋습니다 - 다른 색상도 구매하고 싶은데 지금 입기에 더울거 같아서 올 겨울에 다시 구매하러 올게요~!"
onsso,상위 5%,24.03.04,그레이,FREE,정사이즈예요,아주 만족해요,화면과 비슷해요,165cm,49kg,상의 55,약간 물빠진듯한 느낌으로 색깔도 오묘하고 너무 예뻐서 요즘 같은 날씨에 입기 딱 좋아요! 좀 추운날엔 안에 폴라하나 입고 입어도 좋고 휘뚜루 마뚜루 입기 편합니다. 후드 치고 긴 스타일은 아니고 딱 귀엽게 입기 좋아요!
oAXw3JeF,,24.01.31,그레이,FREE,정사이즈예요,보통이에요,화면과 비슷해요,162cm,53kg,상의 55,"사이즈랑 핏도 전부 만족 특히 후드티 핏 너무 좋고 
바지 사이즈도 불편하지않고 딱 좋습니당
패딩도 엄청 추울때는 좀 못입을거같고 
따듯하진 않을거같으나 
싼값에 산거라 디자인이랑 핏에 만족합니다"
KDE9FGnh,,24.01.21,블루,FREE,정사이즈예요,아주 만족해요,화면과 비슷해요,175cm,60kg,상의 55,크롭 후드 찾던 중 색깔과 기장 모두 마음에 들어서 구매했습니다. 피그먼트 색상 넘 자연스럽고 기장도 크롭인데 너무 쌉크롭 아니라서 175인데도 무난하게 입을 수 있겠네요. 블루 포인트로 입기 좋고 배송 총알👍
JbsX6i6C,,24.01.18,그레이,FREE,정사이즈예요,아주 만족해요,화면과 비슷해요,158cm,43kg,상의 44,"예뻐요! 몇 번 입고 세탁도 해봤는데 크게 변형이나 색빠짐, 뻣뻣해지는 감도 없고 괜찮습니다! 안감의 기모도 부드러워서 이너 없이 잘 입었어요! 크롭 기장이라 그런지 하이웨스트 청바지랑 입으면 무난 캐주얼, 트레이닝 바지랑 입으면 편한 룩이 돼서 너무 잘 입을 것 같아요! 다른 색도 구매하고 싶네요ㅎㅎ"
11no***,상위 25%,25.01.12,차콜,FREE,정사이즈예요,아주 만족해요,화면과 비슷해요,153cm,50kg,상의 44,"제 키에 딱 골반까지 와요. 저보다 키크신 분들은 좀 짧을 거 같기두? 소매도 엄청 긴 편은 아니고 딱 넉넉하니 좋아요. 
목이 짧은편이고 답답한 넥을 못견뎌해서 목 부분이 너무 타이트하지 않을까 걱정했는데 그런것 전혀 없습니다!! 그리고 모자 사이즈가 아주 낙낙해서 후드 뒤집어 써도 참 예뻐요. 
대만족해요 퀄리티가 정말 좋아요! 소매, 밑단 시보리 엄청 짱짱해서 브랜드 후드티 저리가라입니다! 아쉬운 점이 단 하나두 없어요."
rosy******,상위 10%,25.01.11,차콜,FREE,정사이즈예요,아주 만족해요,화면과 비슷해요,161cm,52kg,상의 55,"살까 말까 오래 고민했는데 핏이든 재질이든 다 마음에 듭니다! 이제 나이들어서 너무 큰 후드 입음 별로라... 딱 마음에 드는 정핏 잡아주는 느낌이라 예뻐요!!!
기모가 그렇게 두껍지 않은데 전 그래서 더 좋습니당"
예도리,상위 5%,24.12.30,차콜,FREE,정사이즈예요,아주 만족해요,화면과 비슷해요,165cm,53kg,상의 55,"완전 크롭은 아니고 세미크롭정도? 허리 시보리 짱짱해서 올려입으면 크롭으로도 입을수 있겠어여 
컬러랑 다른부분은 사진이랑 똑같고 오버핏이라기엔 정핏 느낌 나네요 편하게 입기 좋을듯!"
28gheTuQ,상위 5%,24.12.25,차콜,FREE,생각보다 커요,아주 만족해요,화면과 비슷해요,162cm,47kg,상의 55,안에 기모 안감 덕분에 완전 따뜻해요! 오버핏이라 적당히 큰 편이고 안에 내복까지 입으면 올 겨울나기 쉬울듯! 기장도 딱 허리선까지 오니까 너무 길지도 짧지도 않아서 적당해요👍🏻 무난하게 입기 좋아요!
1SQsb8Wq,상위 15%,24.12.21,블루,FREE,정사이즈예요,보통이에요,화면과 비슷해요,156cm,46kg,상의 44,조거팬츠랑 세트로 샀어요 진짜 따뜻하고 색감 여름뮤트한테 너무 찰떡입니다. 후드 모자 입구가 조금 좁아서 널널한 느낌은 아닙니다. 길이도 딱 좋고 시보리도 짱짱한데 옷에서 냄새가 좀 나요
