파일명,컬럼명,전체 데이터 개수,데이터 타입,NaN 개수,최빈값,최빈값 빈도,2번째 최빈값,2번째 최빈값 빈도,3번째 최빈값,3번째 최빈값 빈도,고유값 개수
p7,옵션1,1000,object,0,FREE(44~55),583,L(66~77),173,아이보리,61,36
p7,옵션2,1000,object,0,롱,416,숏,340,FREE,242,4
p7,상품 사이즈,1000,object,0,정사이즈예요,913,작아요,47,생각보다 커요,40,3
p7,퀄리티,1000,object,0,보통이에요,505,아주 만족해요,469,별로예요,26,3
p7,색감,1000,object,0,화면과 비슷해요,981,화면보다 어두워요,11,화면보다 밝아요,8,3
p7,키,1000,object,87,160cm,119,158cm,85,163cm,85,32
p7,몸무게,1000,object,90,50kg,100,52kg,70,48kg,64,43
p7,사이즈,1000,object,103,상의 55,500,상의 44,234,상의 66,132,7
p7,리뷰내용,1000,object,0,"한번 사서 입어보고 좋아서 깔별로 구입 했어요
캡이 탈부착이라 세탁할때 불편함이 없어서 좋아요 
면100 소재로도 나오면 너무 좋겠어요!",8,가격 대비 재질도 괜찮고 만족입니다 추천해요! 숏 기장으로 하나 사서 입어보고 롱이 낫겠다 싶어 나머지 색상들은 롱으로 샀네요,5,"색상도 맘에들고 핏도 좋고 딱 그냥 기본이라 깔끔해서 좋은거 같아요 키 167cm 몸무게 55키로에 발사이즈 240입니다 아쥬 만족 스러워용 
하지만 캡넣는곳이 분해가 안되잇으로 당황스럽긴 해요 
대표적 여러개사서 하나만 사진 올립니당",5,918
p8,아이디,1000,object,115,yES22jVX,4,FB9SviAn,3,gfdhZwz5,3,818
p8,리뷰어 등급,1000,object,782,상위 20%,43,상위 5%,37,상위 25%,35,8
p8,작성 날짜,1000,object,115,24.04.06,22,24.04.07,18,24.04.08,15,310
p8,옵션1,1000,object,115,크림,290,화이트,257,블랙,117,12
p8,옵션2,1000,object,115,1장만 구매,350,블랙(1장 더 구매시 -2000원 할인!),101,블랙(1장 더 구매시 추가할인!),74,17
p8,상품 사이즈,1000,object,115,정사이즈예요,681,작아요,196,생각보다 커요,8,3
p8,퀄리티,1000,object,115,보통이에요,515,아주 만족해요,342,별로예요,28,3
p8,색감,1000,object,115,화면과 비슷해요,848,화면보다 어두워요,27,화면보다 밝아요,10,3
p8,키,1000,object,195,160cm,116,158cm,74,163cm,66,30
p8,몸무게,1000,object,195,50kg,105,52kg,58,48kg,57,38
p8,사이즈,1000,object,195,상의 55,437,상의 44,278,상의 66,81,6
p8,리뷰내용,1000,object,115,"배송이 너무늦게와서 주말에 못입고 나갔는데 
엄청 쫀쫀해서 부유방도 가려지고 잘 늘어날거 같지도
않아서 좋네욤 입고 생활은 못해봤지만 ㅎㅎ",2,"평소에 입으려고 구매했어요~
소재가 탄탄하고 은근 시원해서 좋네요~
색상, 디자인 모두 사진과 동일하게 심플하고 예뻐요~
무엇보다 153기준 배 중간까지 와서 코디하기 편해요~
겨살 있으시면 좀 낄 것 같아요~
사진도 날씬하게 나오는 것 같아요~",2,색깔들이 다 밝고 이뻐서 봄이랑 잘 어울리고 입어보지는 않았지만 잘 늘어나서 몸에 촵 잘 붙을 것 같아요 만족합니다👍👍👍,2,864
p9,아이디,1000,object,0,PO737yXZ,4,오농오농해,4,catglat,3,941
p9,리뷰어 등급,1000,object,621,상위 15%,68,상위 10%,62,상위 20%,60,8
p9,작성 날짜,1000,object,0,24.06.02,9,24.03.27,9,24.07.30,9,375
p9,옵션1,1000,object,0,아이보리,533,아이보리(i),271,블랙,59,7
p9,옵션2,1000,object,0,선택안함,731,선택 안함,135,one,63,10
p9,상품 사이즈,1000,object,1,정사이즈예요,778,작아요,217,생각보다 커요,4,3
p9,퀄리티,1000,object,1,아주 만족해요,571,보통이에요,413,별로예요,14,4
p9,색감,1000,object,2,화면과 비슷해요,992,화면보다 어두워요,3,화면보다 밝아요,3,3
p9,키,1000,object,63,160cm,137,163cm,92,158cm,81,30
p9,몸무게,1000,object,63,50kg,111,48kg,86,53kg,73,36
p9,사이즈,1000,object,73,상의 55,545,상의 44,304,상의 66,62,7
