아이디,리뷰어 등급,작성 날짜,옵션1,옵션2,상품 사이즈,퀄리티,색감,키,몸무게,사이즈,리뷰내용
투머치토커,상위 5%,24.09.13,Blue gray(블루그레이/긴팔),,생각보다 커요,아주 만족해요,화면과 비슷해요,160cm,43kg,상의 44,"넘이쁘고 핏도이쁘고 컬러도 이쁘고,,☺
넣입도 가능하지만 다빼고입는게 힙하고이쁩니다!!
통이 큰데 그맛에 입는옷...☆
다만 주름이 좀 많이가는게 단점이에요
글구 생각했던것보다 탄탄한 두께라서 비침은 없지만 약간 더울 수 있어요

반팔버전도 2개 샀었는데 반팔은 핏이 애매해서 다 환불했습니다... 긴팔버전이 훨 예뻐요!!!"
PRiRxBVX,상위 15%,24.09.10,White(화이트/반팔),,정사이즈예요,아주 만족해요,화면과 비슷해요,,,,"전에 버터색상 사고 너무 잘 입어서 화이트도 구매했습니다
확실히 재질이 빳빳한 편에 속하는 느낌이라 후즐근해 보이지도 않고 롤업했을 때 어깨쪽에 각도 이쁘게 나와서
너무 잘 입고 있습니다
다음 여름에는 다른 색상도 구매할 의사 100% !"
GaAa,,24.09.05,Cream beige(크림베이지/반팔),,생각보다 커요,보통이에요,화면과 비슷해요,164cm,51kg,,"움… 조금 부해보여요.! 팔 부분 몇벙 접어 입어야지 핏이 이쁘게 나와요 단추 다 잠구는거보다 열어서 입는게 더 이뻐요😀 재질은 바스락! 조금이라도 잘못 냅두면 바로 쭈글쭈글해져요 
입으면 시원해서 여름에 입은 좋을거같아요오!"
8T07cFu7,,24.08.25,White(화이트/반팔),,생각보다 커요,아주 만족해요,화면과 비슷해요,162cm,48kg,상의 55,통이 커서 좋아요 근데 뭔가 가벼우면서도 바삭 빳빳?한 재질에다가 품도 크니까 컨트롤이 잘 안되는 느낌 소매도 접어 봤는데 고정 되는 게 아니라 팔쪽으로 올라와서 접은 부분이 두꺼워지는 고런 소재입니다 활용도가 좋아서 계속 입을 거 같긴 해요 닫아서 입는 것보다 열어서 입는 게 예쁜 셔츠!
leej******,상위 15%,24.08.22,Pink(핑크/반팔),,생각보다 커요,아주 만족해요,화면과 비슷해요,165cm,58kg,상의 55,바스락 거리는 소재의 셔츠고 딸기 우유 같은 파스텔톤 색상이에요! 핏도 오버핏이어서 편하게 입어지고 소매 부분 걷어서 입어도 예뻐용!! 다만 땀쟁이들에게 매우 소화하기 어려울 수 있는게 땀이 나서 확인해보니 다 젖어있었다는 슬픈 story.. 참고해서 구매하세요! 이제 더위 좀 가시면 잘 입을 수 있을 것 같아요 ㅎㅎ
Fpkt23lb,,24.08.10,White(화이트/반팔),,정사이즈예요,아주 만족해요,화면과 비슷해요,168cm,65kg,상의 55,개인적으로 이 맘 때 산 옷 중 가장 만족스러웠어요 저는 색깔별로 구입 할 예정이예요. 우산 핏이 정말 마음에 들고요. 길이감이 대박적 ㅜ 그리고 가격이 이 정도다? 옷 배송도 빠르고 너무 좋아요
KKTgPaWm,,24.08.09,White(화이트/반팔),,생각보다 커요,아주 만족해요,화면과 비슷해요,165cm,64kg,,"바스락 거리는 재질이여서 너무 시원하고 생각보다 사이즈가 많이 커서 오버핏으로 입기 딱 좋아요!! 엉덩이도 가려주는 길이라 너무 좋아요!! 제가 딱 찾던 길이입니다ㅎㅎ 주름이 많이 가는 재질이라 몇 번 입으면 다림질
해줘야해서 살짝쿵 귀찮긴 하지만 핏, 길이, 사이즈 너무너무 다 좋아서 다른 색상도 구매할 예정입니다! 조금 더 쌀쌀해지면 긴팔도 쟁여놓을거에여ㅎㅎ"
aViDKHaC,,24.08.08,White(화이트/반팔),,생각보다 커요,아주 만족해요,화면과 비슷해요,,,,품이 생각했던 것 보다 커서 통통한 저에겐 셔츠 단추를 풀고 아우터 느낌으로 입어주는 게 더 잘 어울리더라구요!! 가을까지 예쁘게 입을 것 같아요! 소매는 접어주는 게 훨 귀여워요 🫶🏻
잼밍또,탑리뷰어,24.08.05,White(화이트/반팔),,정사이즈예요,아주 만족해요,화면과 비슷해요,165cm,46kg,상의 44,"여름에 큰 반팔티를 입으면 후줄근한 느낌이라 꾸민 듯 안 꾸민 듯한 옷이 필요하여 구매했습니다.

🍀 크기: 길이는 키 165기준 엉덩이를 가릴 정도이며 팔 길이도 팔꿈치를 덮는 정도입니다. 팔 부분 통도 넓고 품은 넉넉해서 좋아요.

🍀 스타일: 안에 나시 또는 크롭티 입고 걸치는 느낌으로 입어도 좋고 단추를 다 잠그고 와이드 청바지랑 입어도 좋습니다.

🍀 후기: 주름이 잘 지는 옷이라 입을 때마다 다려야 해서 약간 불편함은 입지만 원하던 셔츠 핏이라 만족합니다. 흰 옷임에도 거의 안 비치는 편이라 안에 화려한 옷을 입지 않는 이상 신경쓰지 않아도 될 것 같아요."
잼밍또,탑리뷰어,24.08.05,Pink(핑크/반팔),,정사이즈예요,아주 만족해요,화면과 비슷해요,165cm,46kg,상의 44,"여름에 큰 반팔티를 입으면 후줄근한 느낌이라 꾸민 듯 안 꾸민 듯한 옷이 필요하여 구매했습니다.

🍀 색상: 사진은 어둡고 탁한 색으로 나왔지만 실제로는 #FFD8D8과 비슷한 색상이며 쿨한 핑크보다는 웜에 가까운 핑크입니다.

🍀 크기: 길이는 키 165기준 엉덩이를 가릴 정도이며 팔 길이도 팔꿈치를 덮는 정도입니다. 품은 넉넉해서 좋아요.

🍀 후기: 편하게 입고 다니기 좋으며, 팔 부분은 2번 정도 접어서 입는 것이 걸리적 거리는 것도 없고 예쁩니다. 다만 팔 통이 넓어서 4번째 사진처럼 옷 안이 보이니 속옷만 착용하는 것보다 나시도 같이 입는 것이 좋습니다."
